41.18,58.82
10.24,89.76
2.27,97.73
0.69,99.31
0.12,99.88
0.04,99.96
0.00,100.00
0.00,100.00
0.00,100.00
0.00,100.00
0.00,100.00
0.00,100.00
0.00,100.00
0.00,100.00
0.00,100.00
0.00,100.00
0.00,100.00
0.00,100.00
0.00,100.00
0.00,100.00
0.00,100.00
0.00,100.00
0.00,100.00
0.00,100.00
0.00,100.00
0.00,100.00
0.00,100.00
0.00,100.00
0.00,100.00
0.00,100.00
75.23,24.77
36.28,63.72
20.00,80.00
9.06,90.94
4.93,95.07
2.04,97.96
0.94,99.06
0.47,99.53
0.24,99.76
0.16,99.84
0.04,99.96
0.02,99.98
0.01,99.99
0.00,100.00
0.01,99.99
0.00,100.00
0.00,100.00
0.00,100.00
0.00,100.00
0.00,100.00
0.00,100.00
0.00,100.00
0.00,100.00
0.00,100.00
0.00,100.00
0.00,100.00
0.00,100.00
0.00,100.00
0.00,100.00
0.00,100.00
91.05,8.95
65.95,34.05
47.11,52.89
32.00,68.00
20.31,79.69
12.51,87.49
8.43,91.57
5.45,94.55
3.25,96.75
2.09,97.91
1.32,98.68
0.84,99.16
0.51,99.49
0.34,99.66
0.20,99.80
0.09,99.91
0.10,99.90
0.02,99.98
0.06,99.94
0.02,99.98
0.01,99.99
0.01,99.99
0.00,100.00
0.00,100.00
0.00,100.00
0.00,100.00
0.00,100.00
0.00,100.00
0.00,100.00
0.00,100.00
97.09,2.91
78.26,21.74
64.25,35.75
47.48,52.52
35.89,64.11
24.09,75.91
18.52,81.48
12.27,87.73
8.87,91.13
5.69,94.31
3.99,96.01
2.66,97.34
1.57,98.43
1.24,98.76
0.62,99.38
0.54,99.46
0.28,99.72
0.23,99.77
0.12,99.88
0.09,99.91
0.03,99.97
0.03,99.97
0.03,99.97
0.04,99.96
0.01,99.99
0.00,100.00
0.00,100.00
0.00,100.00
0.00,100.00
0.00,100.00
99.03,0.97
88.97,11.03
76.99,23.01
64.18,35.82
50.45,49.55
40.43,59.57
29.36,70.64
22.03,77.97
16.05,83.95
11.88,88.12
8.30,91.70
6.17,93.83
3.88,96.12
2.75,97.25
1.82,98.18
1.38,98.62
1.04,98.96
0.67,99.33
0.37,99.63
0.15,99.85
0.13,99.87
0.07,99.93
0.08,99.92
0.07,99.93
0.05,99.95
0.03,99.97
0.00,100.00
0.01,99.99
0.00,100.00
0.01,99.99
99.68,0.32
93.20,6.80
85.63,14.37
74.55,25.45
64.43,35.57
52.98,47.02
42.90,57.10
33.03,66.97
26.10,73.90
19.60,80.40
14.80,85.20
10.83,89.17
8.46,91.54
5.61,94.39
4.15,95.85
3.11,96.89
1.91,98.09
1.43,98.57
0.94,99.06
0.74,99.26
0.43,99.57
0.29,99.71
0.26,99.74
0.14,99.86
0.10,99.90
0.10,99.90
0.05,99.95
0.04,99.96
0.02,99.98
0.00,100.00
99.86,0.14
96.65,3.35
90.91,9.09
83.08,16.92
73.94,26.06
63.83,36.17
54.21,45.79
44.77,55.23
35.70,64.30
28.65,71.35
21.75,78.25
17.70,82.30
13.25,86.75
10.29,89.71
7.12,92.88
5.23,94.77
3.90,96.10
2.85,97.15
2.02,97.98
1.42,98.58
1.12,98.88
0.74,99.26
0.50,99.50
0.30,99.70
0.21,99.79
0.16,99.84
0.14,99.86
0.09,99.91
0.09,99.91
0.02,99.98
99.94,0.06
98.31,1.69
94.83,5.17
88.64,11.36
82.11,17.89
73.85,26.15
63.51,36.49
53.91,46.09
46.24,53.76
38.08,61.92
30.95,69.05
24.57,75.43
19.91,80.09
15.47,84.53
11.85,88.15
9.08,90.92
6.78,93.22
5.22,94.78
3.67,96.33
2.72,97.28
2.01,97.99
1.58,98.42
1.20,98.80
0.72,99.28
0.55,99.45
0.41,99.59
0.19,99.81
0.23,99.77
0.10,99.90
0.15,99.85
99.99,0.01
99.00,1.00
96.74,3.26
92.84,7.16
86.77,13.23
80.59,19.41
72.57,27.43
64.98,35.02
56.84,43.16
47.28,52.72
39.72,60.28
33.31,66.69
26.73,73.27
21.56,78.44
17.51,82.49
12.95,87.05
10.59,89.41
8.26,91.74
6.21,93.79
5.03,94.97
3.29,96.71
2.80,97.20
2.00,98.00
1.63,98.37
1.00,99.00
0.76,99.24
0.59,99.41
0.50,99.50
0.29,99.71
0.24,99.76
100.00,0.00
99.57,0.43
98.08,1.92
95.33,4.67
91.69,8.31
86.21,13.79
79.81,20.19
72.78,27.22
65.15,34.85
57.14,42.86
49.15,50.85
41.67,58.33
35.46,64.54
29.15,70.85
24.29,75.71
18.78,81.22
15.39,84.61
11.97,88.03
9.67,90.33
7.11,92.89
6.04,93.96
4.29,95.71
3.42,96.58
2.48,97.52
1.96,98.04
1.51,98.49
1.26,98.74
0.65,99.35
0.48,99.52
0.41,99.59
100.00,0.00
99.71,0.29
98.91,1.09
97.01,2.99
94.45,5.55
90.70,9.30
85.00,15.00
79.33,20.67
72.28,27.72
64.97,35.03
57.86,42.14
50.56,49.44
43.28,56.72
36.64,63.36
31.44,68.56
26.33,73.67
20.92,79.08
16.93,83.07
14.03,85.97
11.42,88.58
8.19,91.81
7.14,92.86
5.20,94.80
4.16,95.84
3.38,96.62
2.48,97.52
1.58,98.42
1.42,98.58
1.21,98.79
0.68,99.32
100.00,0.00
99.86,0.14
99.28,0.72
98.38,1.62
96.46,3.54
93.29,6.71
89.37,10.63
84.87,15.13
79.29,20.71
72.61,27.39
66.66,33.34
58.58,41.42
51.55,48.45
44.49,55.51
39.14,60.86
32.92,67.08
28.39,71.61
22.47,77.53
19.37,80.63
15.45,84.55
13.25,86.75
9.75,90.25
7.97,92.03
6.02,93.98
4.67,95.33
3.79,96.21
2.75,97.25
2.09,97.91
1.74,98.26
1.23,98.77
100.00,0.00
99.92,0.08
99.53,0.47
98.80,1.20
97.38,2.62
95.53,4.47
92.37,7.63
88.85,11.15
83.82,16.18
78.74,21.26
72.78,27.22
67.15,32.85
58.95,41.05
52.65,47.35
46.17,53.83
39.71,60.29
34.22,65.78
30.11,69.89
24.39,75.61
21.01,78.99
17.15,82.85
13.58,86.42
10.95,89.05
9.40,90.60
6.90,93.10
5.74,94.26
4.29,95.71
3.49,96.51
2.90,97.10
2.05,97.95
100.00,0.00
99.97,0.03
99.82,0.18
99.34,0.66
98.52,1.48
97.19,2.81
94.58,5.42
91.78,8.22
88.53,11.47
83.25,16.75
79.86,20.14
72.07,27.93
66.55,33.45
60.72,39.28
53.04,46.96
46.82,53.18
42.15,57.85
36.38,63.62
29.79,70.21
25.40,74.60
21.73,78.27
18.26,81.74
15.56,84.44
12.06,87.94
10.12,89.88
7.78,92.22
6.26,93.74
5.30,94.70
3.98,96.02
3.16,96.84
100.00,0.00
99.98,0.02
99.91,0.09
99.67,0.33
98.97,1.03
98.01,1.99
96.38,3.62
94.55,5.45
91.40,8.60
87.91,12.09
83.21,16.79
77.99,22.01
72.26,27.74
66.48,33.52
61.12,38.88
54.77,45.23
47.96,52.04
42.95,57.05
36.75,63.25
31.84,68.16
27.51,72.49
23.12,76.88
19.65,80.35
16.70,83.30
13.37,86.63
11.08,88.92
9.08,90.92
7.39,92.61
6.09,93.91
4.62,95.38
100.00,0.00
99.99,0.01
99.96,0.04
99.78,0.22
99.27,0.73
98.65,1.35
97.55,2.45
95.63,4.37
93.61,6.39
91.15,8.85
87.45,12.55
83.01,16.99
79.10,20.90
72.59,27.41
67.11,32.89
60.41,39.59
